Wavelength,n_0.8,n_0.9,n_1.0,n_1.1,n_1.2,n_1.3,n_1.4,n_1.5,n_1.6,n_1.7,n_1.8,n_1.9,n_2.0,n_2.1,n_2.2,n_2.3,n_2.4
2095,0.018649504250345214,0.018649521338260654,0.018649583083160674,0.018649772163245433,0.018650253841401798,0.018651309421493203,0.018653362175988654,0.018656990717950326,0.018662928242397427,0.018672048962923803,0.0186853448078552,0.018703896051411914,0.018728839364011575,0.018761336134998245,0.01880254313591128,0.018853586833983058,0.01891554202649021
2096,0.018639157782294843,0.018639176052455717,0.018639241691102326,0.018639441580614056,0.01863994840569399,0.018641054676225115,0.01864319866641832,0.018646977263741676,0.018653144300221757,0.01866259588433572,0.01867634597361125,0.01869549599244889,0.018721202055490407,0.018754642680626328,0.018796989057701767,0.018849379160179962,0.018912896337727275
2097,0.01862881310437938,0.018628832905065028,0.018628903551838737,0.018629117259135058,0.018629656062796665,0.018630826510919848,0.018633085575257276,0.018637052814339743,0.018643507552126824,0.018653372831763312,0.01866768960121762,0.018687585091648456,0.01871423903894568,0.018748850666780913,0.018792608491616115,0.01884666420705806,0.018912111243864282
2098,0.018618470451473017,0.018618491382927073,0.018618565707872285,0.018618789506265984,0.018619351552039837,0.018620568455060774,0.01862291052500386,0.018627013423156313,0.018633674507054387,0.018643835800652226,0.018658557199627158,0.0186789839811812,0.01870631232989221,0.01874175581966928,0.018786514906284912,0.01884175066533634,0.018908563341626883
2099,0.01860812957181999,0.018608152048493875,0.018608231371564504,0.018608468809966985,0.01860906213142708,0.018610341309525803,0.01861279429091277,0.018617077944517026,0.01862401328975524,0.018634567166285396,0.01864982415470841,0.018670952957297923,0.018699171027208614,0.01873571041166036,0.018781786853317533,0.01883857335348348,0.018907178722346197
2100,0.01859779056073868,0.01859781469717043,0.01859789935519665,0.018598151266574634,0.01859877760708089,0.01860012225159369,0.018602691401979756,0.018607163778694685,0.018614384678176523,0.01862534629737156,0.0186411583388029,0.018663013245443158,0.01869214992889706,0.018729818978957733,0.018777251385463708,0.01883563194213708,0.01890607781472096
2101,0.018587453379389243,0.018587479428326874,0.018587570193710573,0.018587838571807708,0.01858850228464552,0.018589920700015045,0.01859262026004159,0.018597303798634873,0.01860484328416816,0.018616258654218627,0.018632686978581368,0.01865534645007961,0.01868549914470373,0.018724415559906057,0.01877334294425186,0.018833478548709037,0.01890594823353604
2102,0.018577118306073833,0.018577145570621123,0.018577240197306694,0.018577518933613615,0.01857820605409124,0.018579670506157494,0.01858245119305699,0.018587265735848426,0.018595002398425837,0.018606698006145415,0.018623506229654672,0.018646660823302335,0.018677437805059788,0.018717119597413883,0.018766963130018795,0.018828173009255014,0.018901880158505132
2103,0.0185564539168933,0.018556483426151613,0.018556585143641176,0.018556882802223795,0.018557612494331074,0.01855916035931952,0.018562087564636013,0.018567138044475635,0.018575228949747027,0.018587426932723188,0.01860491487641878,0.01862895381369044,0.01866084409928524,0.01870188886942314,0.01875336176486138,0.018816479976153433,0.018892382960420527
2104,0.018546124302116825,0.018546155902448448,0.018546264182045857,0.018546579244935954,0.01854734789094845,0.0185489717457118,0.018552031928247392,0.01855729584122785,0.01856570628545228,0.018578356284259745,0.018596454437783856,0.01862128568626034,0.01865417160895583,0.0186964333028809,0.018749358792287653,0.018814175984550274,0.018892031472345455
